2016-02-23 12:21:01.1620 | VeraHuesBridge.SSDPService | INFO | Starting SSDP Service on IP [239.255.255.250], port [1900]... |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.SSDPService | INFO | Joining multicast group on IP [10.10.1.26]... |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.SSDPService | INFO | Starting Multicast Receiver... |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.SSDPService | INFO | SSDP Service started. |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.WebServer | INFO | New webserver initiated.  Using deviceConfig file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.Devices | INFO | Created Devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt]... |  
2016-02-23 12:21:01.1669 | VeraHuesBridge.Devices | INFO | Loading devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt], creating file if it does not exists [True]... |  
2016-02-23 12:21:01.3154 | VeraHuesBridge.Utilities | INFO | Reading JSON file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt]... |  
2016-02-23 12:21:01.4687 | VeraHuesBridge.Devices | INFO | Loaded devices from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:21:01.4687 | VeraHuesBridge.Devices | INFO | Created [15] Device(s) from file [E:\Projects\Visual Studio .NET\Microsoft.NET 4.5\VeraHuesBridge\VeraHuesBridgeTester\bin\Debug\DeviceConfig.txt]. |  
2016-02-23 12:21:01.4687 | VeraHuesBridge.WebServer | INFO | Webserver created.  DeviceConfig holds [15] device(s) |  
2016-02-23 12:21:01.5136 | VeraHuesBridge.WebServer | INFO | Webserver starting up.... |  
2016-02-23 12:21:01.8437 | VeraHuesBridge.WebServerStartup | INFO | Webserver configuration initiated... |  
2016-02-23 12:21:01.9384 | VeraHuesBridge.WebServer | INFO | Webserver started. |  
